"Marques";"Modèles, Versions";"CNIT";"CARBURANT";"Puiss Administrative";"Puissance max";"BV";"Conso urb";"Conso ex-urb";"Conso mixte";"CO2";""
"VOLKSWAGEN";"LUPO 3L TDI (61ch) TIPTRONIC";"MVW70K1RU464";"GO";"3";"45.0";"A 5";"3.6";"2.7";"3.0";"81";"Décembre 2003"
"VOLKSWAGEN";"LUPO 3L TDI (61ch) TIPTRONIC";"MVW70K1RX467";"GO";"3";"45.0";"A 5";"4.2";"2.8";"3.3";"88";"Décembre 2003"
"SMART";"SMART CDI";"MST5001A5074";"GO";"3";"30.0";"M 6";"3.9";"3.1";"3.4";"90";"Décembre 2003"
"SMART";"SMART CDI CABRIOLET";"MST5005AL082";"GO";"3";"30.0";"M 6";"3.9";"3.1";"3.4";"90";"Décembre 2003"
"SMART";"SMART CDI";"MST5001A6075";"GO";"3";"30.0";"M 6";"4.0";"3.3";"3.6";"95";"Décembre 2003"
"SMART";"SMART CDI CABRIOLET";"MST5005AM083";"GO";"3";"30.0";"M 6";"4.0";"3.3";"3.6";"95";"Décembre 2003"
"CITROEN";"C2 1.4HDi";"MCT5001RS780";"GO";"4";"50.0";"M 5";"5.1";"3.6";"4.1";"108";"Décembre 2003"
"CITROEN";"C3 5P 1.4HDi";"MCT5002PC678";"GO";"4";"50.0";"M 5";"5.1";"3.8";"4.2";"110";"Décembre 2003"
"RENAULT";"CLIO 3P 1.5dCi (80ch)";"MRE5111EM578";"GO";"4";"60.0";"M 5";"5.3";"3.6";"4.2";"110";"Décembre 2003"
"RENAULT";"CLIO 5P 1.5dCi (80ch)";"MRE5112EN577";"GO";"4";"60.0";"M 5";"5.3";"3.6";"4.2";"110";"Décembre 2003"
"CITROEN";"C2 1.4HDi";"MCT5001RT781";"GO";"4";"50.0";"M 5";"5.3";"3.6";"4.2";"111";"Décembre 2003"
"CITROEN";"C3 5P 1.4HDi 16V";"MCT5202PV677";"GO";"5";"66.0";"M 5";"5.3";"3.7";"4.3";"112";"Décembre 2003"
"CITROEN";"C2 1.4HDi";"MCT5001R9797";"GO";"4";"50.0";"M 5";"5.3";"3.6";"4.2";"113";"Décembre 2003"
"CITROEN";"C3 5P 1.4HDi";"MCT5002P0788";"GO";"4";"50.0";"M 5";"5.3";"3.8";"4.3";"113";"Décembre 2003"
"PEUGEOT";"206 3P 1.4HDi";"MPE5001KA794";"GO";"4";"50.0";"M 5";"5.5";"3.6";"4.3";"113";"Décembre 2003"
"PEUGEOT";"206 5P 1.4HDi";"MPE5002KB793";"GO";"4";"50.0";"M 5";"5.5";"3.6";"4.3";"113";"Décembre 2003"
"RENAULT";"CLIO 3P 1.5dCi (100ch)";"MRE5311E1476";"GO";"5";"74.0";"M 5";"5.2";"3.8";"4.3";"113";"Décembre 2003"
"RENAULT";"CLIO 5P 1.5dCi (100ch)";"MRE5312EJ456";"GO";"5";"74.0";"M 5";"5.2";"3.8";"4.3";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5141R0189";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5131RL175";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5131R0639";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5131R4643";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"TOYOTA";"YARIS 3P 75 D-4D";"MJT5141R4254";"GO";"4";"55.0";"M 5";"5.1";"3.7";"4.2";"113";"Décembre 2003"
"FIAT";"PANDA 1.3JTD";"MFT5112EN550";"GO";"4";"51.0";"M 5";"5.4";"3.7";"4.3";"114";"Décembre 2003"
"FIAT";"PANDA 1.3JTD";"MFT5112EP551";"GO";"4";"51.0";"M 5";"5.4";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 3P 1400 TDCi";"MFD50A1C3637";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 3P 1400 TDCi DURASHIFT";"MFD50B1CM389";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 5P 1400 TDCi";"MFD50A2CU590";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
"FORD";"NOUVELLE FIESTA 5P 1400 TDCi DURASHIFT";"MFD50B2C5381";"GO";"4";"50.0";"M 5";"5.3";"3.7";"4.3";"114";"Décembre 2003"
"TOYOTA";"PRIUS 75 VVT-i";"MJT9152TB050";"ES";"4";"57.0";"V 0";"5.0";"4.2";"4.3";"104";"Décembre 2003"
"DAIHATSU";"CUORE 3P";"MJD1001JY129";"ES";"4";"43.0";"M 5";"5.8";"3.9";"4.6";"109";"Décembre 2003"
"SMART";"SMART (37 kW)";"MST1001AH062";"ES";"3";"37.0";"M 6";"6.0";"4.0";"4.7";"113";"Décembre 2003"
"SMART";"SMART (45 kW)";"MST1001AN068";"ES";"4";"45.0";"M 6";"6.0";"4.0";"4.7";"113";"Décembre 2003"
"SMART";"SMART (45 kW) CABRIOLET";"MST1005A3076";"ES";"4";"45.0";"M 6";"6.0";"4.0";"4.7";"113";"Décembre 2003"
"DAIHATSU";"CUORE 3P";"MJD1001JZ130";"ES";"4";"43.0";"M 5";"6.0";"4.1";"4.8";"114";"Décembre 2003"
"DAIHATSU";"CUORE 5P";"MJD1002J3132";"ES";"4";"43.0";"M 5";"6.0";"4.1";"4.8";"114";"Décembre 2003"
"HONDA";"CIVIC IMA";"MJH1202E3404";"ES";"5";"61.0";"M 5";"6.0";"4.3";"4.9";"116";"Décembre 2003"
"SMART";"SMART (37 kW) BVA";"MST3001AQ065";"ES";"3";"37.0";"A 6";"6.1";"4.1";"4.8";"116";"Décembre 2003"
"SMART";"SMART (45 kW) BVA";"MST3001AW071";"ES";"4";"45.0";"A 6";"6.1";"4.1";"4.8";"116";"Décembre 2003"
"SMART";"SMART (45 kW) CABRIOLET BVA";"MST3005AC079";"ES";"4";"45.0";"A 6";"6.1";"4.1";"4.8";"116";"Décembre 2003"
"SMART";"SMART ROADSTER (45kW)";"MST1005AF088";"ES";"4";"45.0";"M 6";"6.2";"4.1";"4.9";"116";"Décembre 2003"
"SMART";"SMART (37 kW)";"MST1001AJ063";"ES";"4";"37.0";"M 6";"6.1";"4.2";"4.9";"118";"Décembre 2003"
"SMART";"SMART (45 kW)";"MST1001AP069";"ES";"4";"45.0";"M 6";"6.1";"4.2";"4.9";"118";"Décembre 2003"
"SMART";"SMART (45 kW) CABRIOLET";"MST1005A4077";"ES";"4";"45.0";"M 6";"6.1";"4.2";"4.9";"118";"Décembre 2003"
"SMART";"SMART ROADSTER (45kW)";"MST1005AG089";"ES";"4";"45.0";"M 6";"6.2";"4.3";"5.0";"119";"Décembre 2003"
"SUZUKI";"ALTO";"MJS1002FX284";"ES";"4";"46.0";"M 5";"6.5";"4.0";"4.9";"119";"Décembre 2003"
"SMART";"SMART (37 kW)";"MST1001AJ064";"ES";"4";"37.0";"M 6";"6.1";"4.3";"5.0";"120";"Décembre 2003"
"SMART";"SMART (45 kW)";"MST1001AP070";"ES";"4";"45.0";"M 6";"6.1";"4.3";"5.0";"120";"Décembre 2003"
"SMART";"SMART (45 kW) CABRIOLET";"MST1005A5078";"ES";"4";"45.0";"M 6";"6.1";"4.3";"5.0";"120";"Décembre 2003"
"TOYOTA";"PRIUS 70 VVT-i";"MJT9112TQ906";"ES";"4";"53.0";"V 0";"5.9";"4.6";"5.1";"120";"Décembre 2003"
"TOYOTA";"PRIUS 70 VVT-i";"MJT9132TH094";"ES";"4";"53.0";"V 0";"5.9";"4.6";"5.1";"120";"Décembre 2003"
"TOYOTA";"PRIUS 70 VVT-i";"MJT9142T9013";"ES";"4";"53.0";"V 0";"5.9";"4.6";"5.1";"120";"Décembre 2003"
"SMART";"SMART (37 kW) BVA";"MST3001AR066";"ES";"4";"37.0";"A 6";"6.3";"4.4";"5.1";"121";"Décembre 2003"
"SMART";"SMART (45 kW) BVA";"MST3001AX072";"ES";"4";"45.0";"A 6";"6.3";"4.4";"5.1";"121";"Décembre 2003"
"SMART";"SMART (45 kW) CABRIOLET BVA";"MST3005AD080";"ES";"4";"45.0";"A 6";"6.3";"4.4";"5.1";"121";"Décembre 2003"
"SMART";"SMART ROADSTER (60kW)";"MST3105AZ092";"ES";"5";"60.0";"A 6";"6.3";"4.3";"5.1";"121";"Décembre 2003"
"SMART";"SMART ROADSTER COUPE (60kW)";"MST3105AT086";"ES";"5";"60.0";"A 6";"6.4";"4.3";"5.1";"121";"Décembre 2003"
"SMART";"SMART ROADSTER (45kW) BVA";"MST1005AH090";"ES";"4";"45.0";"M 6";"6.4";"4.4";"5.1";"122";"Décembre 2003"
"SMART";"SMART ROADSTER COUPE (60kW)";"MST3105AU087";"ES";"5";"60.0";"A 6";"6.5";"4.4";"5.1";"122";"Décembre 2003"
"CITROEN";"BERLINGO 1.4i GNV";"MCT9003CC774";"ES/GN";"5";"55.0";"M 5";"10.0";"6.4";"7.8";"185";"Décembre 2003"
"CITROEN";"BERLINGO 1.4i GNV";"MCT9003CC774";"GN/ES";"5";"48.0";"M 5";"11.3";"6.7";"8.4";"146";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN 15Q 2.0i GNV";"MCT9303E2732";"ES/GN";"8";"81.0";"M 5";"16.3";"11.4";"13.2";"311";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN 15Q 2.0i GNV";"MCT9303E2732";"GN/ES";"8";"71.0";"M 5";"16.1";"11.0";"12.9";"243";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN 15Q 2.0i GNV";"MCT9303E3733";"ES/GN";"8";"81.0";"M 5";"16.7";"11.7";"13.5";"319";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN 15Q 2.0i GNV";"MCT9303E3733";"GN/ES";"8";"71.0";"M 5";"16.3";"11.5";"13.3";"250";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN HAUT 15Q 2.0i GNV";"MCT9303EV786";"ES/GN";"8";"81.0";"M 5";"16.9";"11.9";"13.7";"324";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN HAUT 15Q 2.0i GNV";"MCT9303EV786";"GN/ES";"8";"71.0";"M 5";"17.7";"12.5";"14.4";"255";"Décembre 2003"
"FIAT";"MULTIPLA BIPOWER";"MFT9212TA572";"ES/GN";"6";"76.0";"M 5";"11.5";"7.5";"9.0";"214";"Décembre 2003"
"FIAT";"MULTIPLA BIPOWER";"MFT9212TA572";"GN/ES";"6";"68.0";"M 5";"11.3";"7.3";"8.8";"167";"Décembre 2003"
"OPEL";"ZAFIRA 1.6L GNV";"MPL9372MR629";"GN";"6";"71.0";"M 5";"10.5";"6.7";"8.1";"145";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0i GNV";"MPE9303EL898";"ES/GN";"8";"81.0";"M 5";"16.3";"11.4";"13.2";"311";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0i GNV";"MPE9303EL898";"GN/ES";"8";"71.0";"M 5";"16.1";"11.0";"12.9";"243";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0i GNV";"MPE9303EM899";"ES/GN";"8";"81.0";"M 5";"16.7";"11.7";"13.5";"319";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0i GNV";"MPE9303EM899";"GN/ES";"8";"71.0";"M 5";"16.3";"11.5";"13.3";"250";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN HAUT 15S 2.0i GNV";"MPE9303EU943";"ES/GN";"8";"81.0";"M 5";"16.9";"11.9";"13.7";"324";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN HAUT 15S 2.0i GNV";"MPE9303EU943";"GN/ES";"8";"71.0";"M 5";"17.7";"12.5";"14.4";"255";"Décembre 2003"
"PEUGEOT";"PARTNER 1.4i GNV";"MPE9003CP934";"ES/GN";"5";"55.0";"M 5";"10.0";"6.4";"7.8";"185";"Décembre 2003"
"PEUGEOT";"PARTNER 1.4i GNV";"MPE9003CP934";"GN/ES";"5";"48.0";"M 5";"11.3";"6.7";"8.4";"146";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GNV";"MVV9612RF214";"ES/GN";"8";"103.0";"M 5";"12.0";"6.9";"8.8";"211";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GNV";"MVV9612RF214";"GN/ES";"8";"103.0";"M 5";"12.9";"6.7";"9.0";"161";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GNV BVA";"MVV9612RH216";"ES/GN";"8";"103.0";"A 5";"14.2";"7.0";"9.6";"231";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GNV BVA";"MVV9612RH216";"GN/ES";"8";"103.0";"A 5";"14.4";"7.4";"10.0";"178";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GNV";"MVV9612QA210";"ES/GN";"8";"103.0";"M 5";"12.8";"7.1";"9.2";"220";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GNV";"MVV9612QA210";"GN/ES";"8";"103.0";"M 5";"12.8";"7.1";"9.2";"164";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GNV BVA";"MVV9612QB211";"ES/GN";"9";"103.0";"A 5";"14.9";"7.6";"10.1";"246";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GNV BVA";"MVV9612QB211";"GN/ES";"9";"103.0";"A 5";"15.1";"7.9";"10.5";"187";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GNV";"MVV9614LS071";"ES/GN";"8";"103.0";"M 5";"12.6";"7.0";"9.1";"219";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GNV";"MVV9614LS071";"GN/ES";"8";"103.0";"M 5";"13.3";"7.5";"9.6";"171";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GNV BVA";"MVV9614LU073";"ES/GN";"9";"103.0";"A 5";"14.2";"7.9";"10.2";"244";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GNV BVA";"MVV9614LU073";"GN/ES";"9";"103.0";"A 5";"14.9";"7.8";"10.4";"186";"Décembre 2003"
"CITROEN";"BERLINGO 1.4i GPL";"MCT9103CL773";"ES/GP";"5";"55.0";"M 5";"10.0";"6.4";"7.8";"185";"Décembre 2003"
"CITROEN";"BERLINGO 1.4i GPL";"MCT9103CL773";"GP/ES";"5";"53.0";"M 5";"13.2";"8.4";"10.2";"164";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN HAUT 15Q 2.0i GPL";"MCT9403E6787";"ES/GP";"10";"81.0";"M 5";"16.7";"11.7";"13.5";"319";"Décembre 2003"
"CITROEN";"JUMPER II COMBI MOYEN HAUT 15Q 2.0i GPL";"MCT9403E6787";"GP/ES";"10";"81.0";"M 5";"23.1";"15.6";"18.3";"295";"Décembre 2003"
"LADA-VAZ";"LADA NIVA GPL";"212140SZ";"ES/GP";"7";"61.0";"M 5";"15.1";"9.2";"11.4";"282";"Décembre 2003"
"LADA-VAZ";"LADA NIVA GPL";"212140SZ";"GP/ES";"7";"58.0";"M 5";"19.5";"11.4";"14.3";"242";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0L GPL";"MPE9403EB914";"ES/GP";"9";"81.0";"M 5";"16.1";"11.2";"13.0";"306";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0L GPL";"MPE9403EC915";"ES/GP";"10";"81.0";"M 5";"16.3";"11.4";"13.2";"311";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0L GPL";"MPE9403EB914";"GP/ES";"9";"81.0";"M 5";"22.2";"15.0";"17.6";"283";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN 15Q 2.0L GPL";"MPE9403EC915";"GP/ES";"10";"81.0";"M 5";"22.6";"15.3";"18.0";"289";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN HAUT 15Q 2.0i GPL";"MPE9403E5944";"ES/GP";"10";"81.0";"M 5";"16.7";"11.7";"13.5";"319";"Décembre 2003"
"PEUGEOT";"BOXER II COMBI MOYEN HAUT 15Q 2.0i GPL";"MPE9403E5944";"GP/ES";"10";"81.0";"M 5";"23.1";"15.6";"18.3";"295";"Décembre 2003"
"PEUGEOT";"PARTNER 1.4i GPL";"MPE9103CY933";"ES/GP";"5";"55.0";"M 5";"10.0";"6.4";"7.8";"185";"Décembre 2003"
"PEUGEOT";"PARTNER 1.4i GPL";"MPE9103CY933";"GP/ES";"5";"53.0";"M 5";"13.2";"8.4";"10.2";"164";"Décembre 2003"
"RENAULT";"CLIO 3P 1.2L GPL";"MRE9011EN602";"ES/GP";"4";"44.0";"M 5";"7.7";"5.0";"6.0";"143";"Décembre 2003"
"RENAULT";"CLIO 3P 1.2L GPL";"MRE9011EN602";"GP/ES";"4";"43.0";"M 5";"10.1";"6.3";"7.7";"126";"Décembre 2003"
"RENAULT";"CLIO 5P 1.2L GPL";"MRE9012EP601";"ES/GP";"4";"44.0";"M 5";"7.7";"5.0";"6.0";"143";"Décembre 2003"
"RENAULT";"CLIO 5P 1.2L GPL";"MRE9012EP601";"GP/ES";"4";"43.0";"M 5";"10.1";"6.3";"7.7";"126";"Décembre 2003"
"RENAULT";"KANGOO 1.2L GPL";"MRE9012KV153";"ES/GP";"4";"43.0";"M 5";"8.5";"6.1";"7.0";"165";"Décembre 2003"
"RENAULT";"KANGOO 1.2L GPL";"MRE9012KV153";"GP/ES";"4";"42.0";"M 5";"10.9";"7.8";"9.0";"145";"Décembre 2003"
"RENAULT";"TWINGO 1.2L GPL";"MRE9011FA588";"ES/GP";"4";"44.0";"M 5";"7.6";"4.8";"5.8";"138";"Décembre 2003"
"RENAULT";"TWINGO 1.2L GPL";"MRE9011FA588";"GP/ES";"4";"43.0";"M 5";"9.7";"6.2";"7.5";"122";"Décembre 2003"
"SUBARU";"FORESTER 2.0L GPL";"SG5LK43GC";"ES/GP";"8";"92.0";"M 5";"11.6";"6.7";"8.5";"204";"Décembre 2003"
"SUBARU";"FORESTER 2.0L GPL";"SG5LK43GC";"GP/ES";"8";"91.0";"M 5";"15.6";"8.8";"11.3";"184";"Décembre 2003"
"SUBARU";"FORESTER 2.0L GPL BVA";"SG5LR53GC";"ES/GP";"8";"92.0";"A 4";"11.9";"6.7";"8.6";"206";"Décembre 2003"
"SUBARU";"FORESTER 2.0L GPL BVA";"SG5LR53GC";"GP/ES";"8";"91.0";"A 4";"16.0";"8.8";"11.5";"186";"Décembre 2003"
"SUBARU";"LEGACY BREAK 2.5L GPL";"BH9LJ43GC";"ES/GP";"10";"115.0";"M 5";"12.5";"7.2";"9.2";"220";"Décembre 2003"
"SUBARU";"LEGACY BREAK 2.5L GPL";"BH9LJ43GC";"GP/ES";"10";"113.0";"M 5";"16.8";"9.5";"12.3";"198";"Décembre 2003"
"SUBARU";"LEGACY OUTBACK 2.5L GPL";"BH9LJB3GC";"ES/GP";"10";"115.0";"M 5";"12.3";"7.2";"9.0";"216";"Décembre 2003"
"SUBARU";"LEGACY OUTBACK 2.5L GPL";"BH9LJB3GC";"GP/ES";"10";"113.0";"M 5";"16.6";"9.5";"12.0";"195";"Décembre 2003"
"SUBARU";"LEGACY OUTBACK 2.5L GPL BVA";"BH9LRA3GC";"ES/GP";"10";"115.0";"A 4";"12.4";"7.2";"9.1";"218";"Décembre 2003"
"SUBARU";"LEGACY OUTBACK 2.5L GPL BVA";"BH9LRA3GC";"GP/ES";"10";"113.0";"A 4";"16.7";"9.5";"12.1";"196";"Décembre 2003"
"VOLVO";"S40 1.8L GPL";"MVV9402FT710";"ES/GP";"7";"85.0";"M 5";"11.2";"6.1";"8.0";"187";"Décembre 2003"
"VOLVO";"S40 1.8L GPL";"MVV9402FT710";"GP/ES";"7";"85.0";"M 5";"14.3";"8.2";"10.4";"168";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GPL";"MVV9612RD212";"ES/GP";"9";"103.0";"M 5";"12.6";"7.1";"9.1";"217";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GPL";"MVV9612RD212";"GP/ES";"9";"103.0";"M 5";"15.6";"9.1";"11.5";"186";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GPL BVA";"MVV9612R4106";"ES/GP";"9";"103.0";"A 5";"14.0";"7.1";"9.6";"231";"Décembre 2003"
"VOLVO";"S60 2.4L (140ch) GPL BVA";"MVV9612R4106";"GP/ES";"9";"103.0";"A 5";"18.5";"9.6";"12.9";"209";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GPL";"MVV9612Q7207";"ES/GP";"9";"103.0";"M 5";"12.4";"6.9";"8.9";"213";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GPL";"MVV9612Q7207";"GP/ES";"9";"103.0";"M 5";"16.1";"8.9";"11.6";"187";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GPL BVA";"MVV9612Q9209";"ES/GP";"9";"103.0";"A 5";"14.2";"7.6";"10.0";"240";"Décembre 2003"
"VOLVO";"S80 2.4L (140ch) GPL BVA";"MVV9612Q9209";"GP/ES";"9";"103.0";"A 5";"18.7";"10.1";"13.3";"215";"Décembre 2003"
"VOLVO";"V40 1.8L GPL";"MVV9404H1712";"ES/GP";"7";"85.0";"M 5";"11.2";"6.1";"8.0";"187";"Décembre 2003"
"VOLVO";"V40 1.8L GPL";"MVV9404H1712";"GP/ES";"7";"85.0";"M 5";"14.3";"8.2";"10.4";"168";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GPL";"MVV9614LP067";"ES/GP";"9";"103.0";"M 5";"12.9";"7.5";"9.5";"227";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GPL";"MVV9614LP067";"GP/ES";"9";"103.0";"M 5";"16.4";"9.8";"12.2";"197";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GPL BVA";"MVV9614LQ069";"ES/GP";"9";"103.0";"A 5";"14.5";"7.7";"10.2";"244";"Décembre 2003"
"VOLVO";"V70 2.4L (140ch) GPL BVA";"MVV9614LQ069";"GP/ES";"9";"103.0";"A 5";"19.0";"10.5";"13.6";"221";"Décembre 2003"